category,brand,model_name,price_vnd,image_url,inventory_status
Laptop,Acer,Acer Aspire 5 A515 58M 79R7 i7 13620H (NX.KQ8SV.007),20690000,/images/products/acer_acer-aspire-5-a515-58m-79r7-i7-13620h-nxkq8sv007.jpg,Còn hàng
Laptop,Lenovo,Lenovo V15 G5 IRL i5 13420H (83HF00BYVN),24590000,/images/products/lenovo_lenovo-v15-g5-irl-i5-13420h-83hf00byvn.jpg,Còn hàng
Laptop,Lenovo,Lenovo V14 G5 i5 13420H (83HD005JVN),24890000,/images/products/lenovo_lenovo-v14-g5-i5-13420h-83hd005jvn.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i5 1334U (DC15250-i5U165W11SLU-27),21990000,/images/products/dell_dell-15-dc15250-i5-1334u-dc15250-i5u165w11slu-27.jpg,Còn hàng
Laptop,HP,HP Gaming VICTUS 15 fa2731TX i5 13420H (B85LNPA),24990000,/images/products/hp_hp-gaming-victus-15-fa2731tx-i5-13420h-b85lnpa.jpg,Còn hàng
Laptop,Asus,Asus Vivobook 15 X1502VA i7 13620H (BQ986WS),20790000,/images/products/asus_asus-vivobook-15-x1502va-i7-13620h-bq986ws.jpg,Còn hàng
Laptop,HP,HP Probook 455 G10 R5 7530U (B8PG7AT),19490000,/images/products/hp_hp-probook-455-g10-r5-7530u-b8pg7at.jpg,Còn hàng
Laptop,Lenovo,Lenovo Yoga Slim 7 OLED 14IMH9 Ultra 7 155H (83CV00DKVN),33290000,/images/products/lenovo_lenovo-yoga-slim-7-oled-14imh9-ultra-7-155h-83cv00dkvn.jpg,Còn hàng
Laptop,Dell,Dell Inspiron 15 3530 i5 1334U (P16WD22),19990000,/images/products/dell_dell-inspiron-15-3530-i5-1334u-p16wd22.jpg,Còn hàng
Laptop,Acer,Acer Nitro ProPanel ANV15-41-R0Y4 R7 7735HS (NH.QPESV.004),29990000,/images/products/acer_acer-nitro-propanel-anv15-41-r0y4-r7-7735hs-nhqpesv004.jpg,Còn hàng
Laptop,Acer,Acer Gaming Nitro V 15 ANV15 41 R1JY R5 6600H (NH.QPFSV.001),22890000,/images/products/acer_acer-gaming-nitro-v-15-anv15-41-r1jy-r5-6600h-nhqpfsv001.jpg,Còn hàng
Laptop,HP,HP 15 fc0085AU R5 7430U (A6VV8PA),18990000,/images/products/hp_hp-15-fc0085au-r5-7430u-a6vv8pa.jpg,Còn hàng
Laptop,HP,HP Pavilion 15 eg3091TU i7 1355U (8C5L2PA),24290000,/images/products/hp_hp-pavilion-15-eg3091tu-i7-1355u-8c5l2pa.jpg,Còn hàng
Laptop,Asus,Asus Gaming V16 V3607VU Core 5 210H (RP192W),25890000,/images/products/asus_asus-gaming-v16-v3607vu-core-5-210h-rp192w.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i5 1334U (DC15250-i5U165W11SLU),20990000,/images/products/dell_dell-15-dc15250-i5-1334u-dc15250-i5u165w11slu.jpg,Còn hàng
Laptop,Dell,Dell Latitude 3450 i5 1335U (L3450-1335U-16512WN),21990000,/images/products/dell_dell-latitude-3450-i5-1335u-l3450-1335u-16512wn.jpg,Còn hàng
Laptop,MSI,MSI Venture A15 AI A2HMG R7 260 (003VN),21390000,/images/products/msi_msi-venture-a15-ai-a2hmg-r7-260-003vn.jpg,Còn hàng
Laptop,Acer,Acer Gaming Nitro V ANV15 51 57B2 i5 13420H (NH.QN8SV.001),25900000,/images/products/acer_acer-gaming-nitro-v-anv15-51-57b2-i5-13420h-nhqn8sv001.jpg,Còn hàng
Laptop,Dell,Dell 15 DC15250 i5 1334U (CPH992),21990000,/images/products/dell_dell-15-dc15250-i5-1334u-cph992.jpg,Còn hàng
Laptop,Asus,Asus TUF Gaming F16 FX607VJB Core 5 210H (RL151W),23890000,/images/products/asus_asus-tuf-gaming-f16-fx607vjb-core-5-210h-rl151w.jpg,Còn hàng
Laptop,HP,HP Pavilion 15 eg3093TU i5 1335U (8C5L4PA),19990000,/images/products/hp_hp-pavilion-15-eg3093tu-i5-1335u-8c5l4pa.jpg,Còn hàng
Laptop,HP,HP 245 G10 R5 7530U (A20TDPT),17490000,/images/products/hp_hp-245-g10-r5-7530u-a20tdpt.jpg,Còn hàng
Laptop,Acer,Acer Gaming Aspire 7 A715 59G 73LB i7 12650H (NH.QX6SV.002),24990000,/images/products/acer_acer-gaming-aspire-7-a715-59g-73lb-i7-12650h-nhqx6sv002.jpg,Còn hàng
Laptop,Asus,Asus Zenbook 14 UX3405CA Ultra 9 285H (PZ204WS),38390000,/images/products/asus_asus-zenbook-14-ux3405ca-ultra-9-285h-pz204ws.jpg,Còn hàng
Laptop,Lenovo,Lenovo ThinkBook 14 Core 7 240H (21SG007VVN),33590000,/images/products/lenovo_lenovo-thinkbook-14-core-7-240h-21sg007vvn.jpg,Còn hàng
Laptop,GIGABYTE,GIGABYTE Gaming A16 GA6H i5 13420H (GAMING-A16-CMHH2VN893SH),25790000,/images/products/gigabyte_gigabyte-gaming-a16-ga6h-i5-13420h-gaming-a16-cmhh2vn893sh.jpg,Còn hàng
Laptop,Dell,Dell Gaming Alienware 16 Aurora AC16250 Core 5 210H (71072939),34990000,/images/products/dell_dell-gaming-alienware-16-aurora-ac16250-core-5-210h-71072939.jpg,Còn hàng
Laptop,HP,HP OmniBook 7 Aero 13 bg1087AU R5 AI 340 (BZ7S1PA),27990000,/images/products/hp_hp-omnibook-7-aero-13-bg1087au-r5-ai-340-bz7s1pa.jpg,Còn hàng
Laptop,MSI,MSI Gaming Katana 15 HX B14WFK i7 14650HX (025VN),44590000,/images/products/msi_msi-gaming-katana-15-hx-b14wfk-i7-14650hx-025vn.jpg,Còn hàng
